TILEID,EXPID,MEDIAN_TSNR2_LRG,MEDIAN_TSNR2_ELG,MEDIAN_DELTACHI2,N_LRG
1244,00093480,88.63206481933594,127.2515869140625,219.08464314043522,1087
1245,00093479,86.48747253417969,120.59465026855469,192.5500902198255,974
1246,00091385,87.98825073242188,127.91535949707031,242.09629129618406,1160
1247,00092384,94.4024887084961,134.83013916015625,207.4379018098116,1193
1248,00091181,76.37385559082031,102.20597076416016,190.56235207617283,1176
1249,00093377,90.53660583496094,129.91830444335938,214.3274854645133,1077
1250,00093271,85.20382690429688,126.14590454101562,203.10293817147613,1198
1251,00091180,77.09272003173828,103.8477554321289,176.16586541198194,1244
1252,00089162,77.09896850585938,109.79835510253906,199.35621202737093,1235
1253,00093482,79.42594909667969,113.68356323242188,203.12113845907152,972
1254,00093481,82.25355529785156,117.65705871582031,239.8086318075657,1059
1256,00090405,77.87069702148438,109.38958740234375,186.56198213994503,1217
1257,00088874,81.9738998413086,119.10032653808594,190.662189231487,1144
1258,00092383,79.50837707519531,110.98567199707031,186.3481419030577,1230
1295,00095205,76.52959442138672,106.50143432617188,200.4548120200634,1109
1299,00097851,81.01714324951172,111.52128601074219,206.48184000095353,1100
1308,00097852,77.96746063232422,109.03022003173828,201.9558429401368,1134
1310,00097850,82.02359771728516,113.55799865722656,195.64054940082133,1068
1311,00097849,81.69093322753906,112.82109069824219,189.5636038184166,1026
1384,00092387,79.81135559082031,115.56088256835938,182.80570800602436,1156
1385,00091186,79.07159423828125,107.71531677246094,207.36173404753208,1107
1386,00090772,79.72428894042969,112.19818115234375,207.6511638406664,1062
1387,00091391,85.15119934082031,122.7777328491211,202.72920032434922,1179
1388,00092386,75.119873046875,107.28153991699219,184.90619741659611,1174
1389,00091185,74.01959228515625,99.47303009033203,190.30797971785069,1067
1390,00090669,88.14063262939453,126.58306884765625,208.17660423368216,1066
1391,00089037,86.11550903320312,125.88504028320312,233.97513194940984,1086
1392,00089038,91.73809814453125,136.5743408203125,214.54603158542886,1044
1393,00090524,39.374061584472656,61.094329833984375,124.88780893012881,1011
1393,00091187,83.85948181152344,114.3544921875,199.26872909255326,1014
1394,00091390,89.98422241210938,128.2105712890625,205.47483325004578,1088
1395,00091392,88.58208465576172,129.0537872314453,207.67723977006972,1122
1396,00092389,78.6441650390625,112.7477035522461,175.75356239825487,1075
1397,00093278,86.83453369140625,124.60885620117188,198.78400253504515,990
1398,00091184,71.81904602050781,95.81158447265625,155.64194991393015,1162
1399,00090667,83.76692199707031,115.88975524902344,204.05567796342075,1108
1400,00091182,85.21475982666016,114.9864730834961,217.12597055733204,1162
1401,00090770,77.60336303710938,102.98925018310547,177.39816273748875,1207
1402,00090521,96.30125427246094,150.73904418945312,248.72561898082495,1127
1403,00090408,26.200021743774414,39.243492126464844,63.505982626229525,1186
1403,00090519,57.019569396972656,85.40725708007812,147.83707776665688,1181
1404,00088388,82.14116668701172,115.35932922363281,203.14778530597687,1101
