# fiber x(mm) y(mm) theta(deg) phi(deg) illumination_fraction
161 247.347817 168.047345 1.201163 34.192067 1.21519e-05
162 357.424590 104.693503 1.477517 16.325875 1.14273e-05
163 178.866984 14.254256 0.731776 4.556382 1.31837e-05
164 247.125402 113.724312 1.097113 24.711352 1.24068e-05
165 220.883125 86.707962 0.961470 21.432555 1.27159e-05
166 304.517385 68.395820 1.251092 12.658785 1.20278e-05
167 288.923442 95.552025 1.221371 18.299952 1.21029e-05
168 43.224786 14.274257 0.187199 18.274935 1.39693e-05
169 121.479689 5.209055 0.498260 2.455342 1.35817e-05
170 231.035957 14.263224 0.938585 3.532726 1.27644e-05
171 351.818810 41.373707 1.409950 6.707148 1.16121e-05
172 215.690795 95.761026 0.956363 23.939959 1.27276e-05
173 315.588554 158.990489 1.406712 26.738528 1.1621e-05
174 163.369812 59.635583 0.709642 20.053816 1.32275e-05
175 299.821362 168.021192 1.370484 29.266459 1.17177e-05
176 278.610160 131.796560 1.236253 25.316494 1.20651e-05
177 210.449100 86.727365 0.923383 22.396859 1.27989e-05
178 231.157741 50.471756 0.958763 12.316850 1.272e-05
179 363.356590 149.875040 1.553252 22.414860 1.12178e-05
180 357.080045 14.256796 1.421584 2.286380 1.15802e-05
181 357.092367 32.339882 1.426012 5.174845 1.15681e-05
182 272.843784 14.240016 1.101679 2.987619 1.23957e-05
183 69.332502 23.318355 0.300540 18.589154 1.38479e-05
184 251.985603 32.349085 1.027139 7.315432 1.2569e-05
185 268.139757 131.770219 1.200147 26.170593 1.21563e-05
186 262.440304 32.334770 1.067556 7.023905 1.24761e-05
187 215.766607 113.854688 0.987657 27.819499 1.26581e-05
188 368.852806 158.925804 1.584533 23.309524 1.11286e-05
189 205.258254 95.781025 0.918992 25.015481 1.28097e-05
190 314.926656 14.238621 1.263059 2.588722 1.1997e-05
191 351.797196 5.214935 1.400965 0.849273 1.16364e-05
192 241.866062 104.704763 1.064180 23.407975 1.24834e-05
193 53.658812 14.277022 0.228279 14.899517 1.39278e-05
194 158.345319 104.891532 0.773786 33.521395 1.31048e-05
195 336.408969 122.773755 1.424369 20.049750 1.15725e-05
196 126.829148 50.578549 0.558929 21.741757 1.34869e-05
197 111.045587 5.208813 0.455853 2.685603 1.36448e-05
198 236.271132 23.300168 0.961961 5.632083 1.27134e-05
199 288.758900 59.373004 1.184928 11.618908 1.21942e-05
200 168.636431 68.684063 0.742403 22.160614 1.31656e-05
201 272.997928 50.375718 1.118680 10.455058 1.23551e-05
202 362.471783 59.455235 1.458549 9.315117 1.14796e-05
203 184.234592 59.584817 0.788536 17.922150 1.30745e-05
204 346.722521 86.580163 1.421601 14.020617 1.15802e-05
205 179.211151 104.877439 0.844318 30.336903 1.29646e-05
206 299.955197 186.140264 1.405377 31.822093 1.16243e-05
207 378.789730 104.651540 1.552988 15.444343 1.12174e-05
208 357.323733 86.571409 1.459830 13.619040 1.1475e-05
209 363.048798 131.819374 1.528309 19.955451 1.12881e-05
210 330.717751 23.272748 1.324755 4.025293 1.18378e-05
211 215.473439 41.438934 0.891004 10.885972 1.28681e-05
212 284.083871 177.069072 1.336871 31.935228 1.1806e-05
213 90.199639 23.325450 0.382431 14.498950 1.3746e-05
214 178.928913 32.374183 0.741389 10.255756 1.31651e-05
215 246.716093 23.292832 1.002739 5.393393 1.26245e-05
216 194.608464 41.426105 0.809816 12.017125 1.3034e-05
217 367.655461 14.256931 1.460832 2.220701 1.1472e-05
218 358.417902 177.071170 1.577758 26.291007 1.11471e-05
219 293.845930 14.209355 1.182584 2.768466 1.21977e-05
220 179.296283 122.978837 0.883078 34.446121 1.28847e-05
221 126.906556 68.704146 0.590372 28.430045 1.34358e-05
222 309.733006 59.367182 1.263526 10.850406 1.1996e-05
