TILEID,NIGHT,FIBER,IMAGING_FLUX_R,IMAGING_FIBERFLUX_R,SPECTRO_FLUX_R,SPECTRO_FIBERFLUX_R
1750,20210514,3648,2.1528449058532715,0.65866619348526,0.8102142789972169,0.5811443612909312
1750,20210514,3649,2.242555618286133,1.7405929565429688,1.943601800781688,1.5335018208167515
1750,20210514,3650,3.4345526695251465,2.6742212772369385,3.7006499116862575,2.9198127803204565
1750,20210514,3652,0.9958377480506897,0.7741357088088989,0.9145812148096871,0.7216045784848429
1750,20210514,3653,3.931837797164917,3.061084508895874,5.515880641608922,4.352029826229439
1750,20210514,3654,1.342149019241333,0.5260946750640869,0.5909573556214074,0.44423493386120394
1750,20210514,3655,1.6680922508239746,0.7739375829696655,1.0691900461923556,0.7827851381317077
1750,20210514,3656,11.568195343017578,4.188506126403809,5.683941039890981,4.2491626175032575
1750,20210514,3657,4.764321804046631,3.7030556201934814,6.123726373000598,4.831620108297471
1750,20210514,3658,1.0051562786102295,0.782034158706665,0.963626201751662,0.7603010731820612
1750,20210514,3659,0.7061588168144226,0.0,0.6475716884970417,0.5145410771784997
1750,20210514,3660,8.725520133972168,0.0,2.624143334725511,2.0825281838769887
1750,20210514,3661,0.36484429240226746,0.22685927152633667,0.28753801856938127,0.22200344830544497
1750,20210514,3662,1.8685284852981567,0.0,1.8028325262131428,1.4311769874234408
1750,20210514,3663,0.6183522343635559,0.4806581735610962,0.6073717915805134,0.4792163435570249
1750,20210514,3665,0.8987933397293091,0.6988043785095215,1.279819887972777,1.0097778916105207
1750,20210514,3666,6.510772228240967,5.068872451782227,5.477119335804075,4.321447155949414
1750,20210514,3667,0.44986823201179504,0.35036972165107727,0.30132534196801947,0.2377456948127673
1750,20210514,3670,0.284348726272583,0.22137455642223358,0.32734689539537143,0.258276700466948
1750,20210514,3672,1.4066106081008911,0.40642687678337097,0.45972671480512767,0.3385640581520997
1750,20210514,3673,4.79662561416626,2.2553598880767822,2.8919145417703174,2.1645111532178003
1750,20210514,3676,0.6988173127174377,0.42042025923728943,0.5264078613327509,0.4075574641182678
1750,20210514,3677,2.824453115463257,2.199781894683838,2.7858258293,2.198016579317699
1750,20210514,3678,0.26119735836982727,0.20342271029949188,0.26641091458806143,0.21019821160998042
1750,20210514,3680,0.8678187727928162,0.6754222512245178,0.8853061013806846,0.6985065139893599
1750,20210514,3682,2.8331432342529297,1.5467281341552734,2.040740157687209,1.5693688084250217
1750,20210514,3683,0.5517404079437256,0.4290623664855957,0.6564515214092498,0.517940250391898
1750,20210514,3684,2.4004151821136475,1.8694541454315186,3.1016190159166555,2.4471774035582405
1750,20210514,3686,9.098796844482422,7.07238245010376,8.237743968363976,6.499579991039175
1750,20210514,3687,2.5772883892059326,1.1103918552398682,1.5326672767298106,1.1534323709141525
1750,20210514,3688,11.775290489196777,9.157176971435547,11.778606022771099,9.293320151966395
1750,20210514,3689,1.411073088645935,1.0987389087677002,1.0929654599981655,0.8623497479385523
1750,20210514,3690,0.5592779517173767,0.31135067343711853,0.4030189730297544,0.30992975928749517
1750,20210514,3691,0.851051926612854,0.5145725607872009,0.7991117783980733,0.6163069641487039
1750,20210514,3692,0.7164154052734375,0.45921778678894043,0.5455380250271668,0.42376811186880103
1750,20210514,3693,1.0923699140548706,0.850904107093811,1.0562199123217002,0.8333575108218213
1750,20210514,3694,0.9237560033798218,0.6054784655570984,0.7841136328990804,0.6102926602207221
1750,20210514,3695,3.6068947315216064,2.807952880859375,4.143917346914299,3.2695507867153815
1750,20210514,3696,0.7757388353347778,0.25572848320007324,0.3865222470889708,0.28614365446301343
1750,20210514,3697,5.6829118728637695,4.420842170715332,4.701834243886357,3.709747218426335
1750,20210514,3698,1.8685463666915894,0.6483761668205261,0.8460675494905355,0.6130396574738994
1750,20210514,3699,0.9586092233657837,0.7464174628257751,0.8195026819976944,0.6465876160961808
1750,20210514,3701,3.4340879917144775,0.0,5.072980449137764,4.002581574369694
1750,20210514,3702,0.3493165969848633,0.2717580795288086,0.33999728626063735,0.2682578588596428
1750,20210514,3703,1.3506866693496704,1.0505598783493042,0.9295281286239144,0.7333976934842683
1750,20210514,3705,1.952316403388977,1.5179930925369263,0.0,0.0
1750,20210514,3707,0.43201005458831787,0.28463006019592285,0.2608204652104037,0.20485057732762668
1750,20210514,3708,21.34923553466797,6.212723255157471,7.908695377711113,5.89799649687605
1750,20210514,3709,4.871384143829346,3.7862768173217773,3.78939182374733,2.9898301489366426
1750,20210514,3710,5.666483402252197,2.085322856903076,2.992081677949049,2.2766266531870065
1750,20210514,3711,0.6346790790557861,0.4298422932624817,0.5343011538007498,0.4196549785273079
1750,20210514,3713,6.51434326171875,2.866987466812134,3.6087786911874793,2.7810068489275905
1750,20210514,3715,0.426546186208725,0.2894178032875061,0.3218134837486085,0.25236756642768615
1750,20210514,3717,3.467864751815796,1.4213080406188965,1.8232218144636974,1.400883942001832
1750,20210514,3718,4.746666431427002,1.7866290807724,2.344243283416465,1.796369460664817
1750,20210514,3719,0.3465777635574341,0.20834799110889435,0.4769119875982996,0.3720414812440434
1750,20210514,3720,0.3759790360927582,0.2707277238368988,0.38976078909496803,0.3066814617066423
1750,20210514,3721,53.10196304321289,41.28512954711914,51.865297944125814,40.92172007791526
