NIGHT,EXPID,CAMERA,AMP,RDNOISE,GAIN
20220605,138209,b3,C,3.594298416700615,1.159
20220605,138209,b3,D,3.025700283578269,1.164
20220605,138209,r3,A,2.676886962793389,1.681
20220605,138209,r3,B,3.13005746167878,1.625
20220605,138209,r3,C,2.33614406400196,1.477
20220605,138209,r3,D,2.275178841593334,1.492
20220605,138209,z3,A,2.790787367070517,1.445
20220605,138209,z3,B,2.61348428147128,1.481
20220605,138209,z3,C,3.102114461420568,1.697
20220605,138209,z3,D,3.127578548517958,1.682
20220605,138209,b4,A,4.040092196483651,1.068
20220605,138209,b4,B,3.035194775176721,1.088
20220605,138209,b4,C,3.448659870952036,1.076
20220605,138209,b4,D,2.960851693356075,1.083
20220605,138209,r4,A,2.948381960047566,1.652
20220605,138209,r4,B,2.935851878406037,1.572
20220605,138209,r4,C,2.570796844551044,1.519
20220605,138209,r4,D,2.477762478055837,1.446
20220605,138209,z4,A,2.576313365696615,1.64
20220605,138209,z4,B,2.441257607973283,1.631
20220605,138209,z4,C,2.679489569001964,1.665
20220605,138209,z4,D,2.313710869189761,1.509
20220605,138209,b5,A,4.045537518927169,1.122
20220605,138209,b5,B,3.041070990555346,1.127
20220605,138209,b5,C,4.362081720063989,1.162
20220605,138209,b5,D,3.060885911012972,1.132
20220605,138209,r5,A,3.173949105174718,1.684
20220605,138209,r5,B,3.090624649856771,1.655
20220605,138209,r5,C,2.873918643820867,1.467
20220605,138209,r5,D,2.69218735382232,1.509
20220605,138209,z5,A,2.428511883451034,1.572
20220605,138209,z5,B,2.204284968846792,1.511
20220605,138209,z5,C,2.634931748282809,1.72
20220605,138209,z5,D,2.505957696975654,1.658
20220605,138209,b6,A,3.881694840928298,1.29
20220605,138209,b6,B,3.276677045906752,1.284
20220605,138209,b6,C,3.14539381550775,1.292
20220605,138209,b6,D,3.153892706934318,1.295
20220605,138209,r6,A,2.696491926092264,1.704
20220605,138209,r6,B,3.120945135448766,1.665
20220605,138209,r6,C,2.388159643631026,1.491
20220605,138209,r6,D,2.297354341199384,1.531
20220605,138209,z6,A,2.186105174791655,1.387
20220605,138209,z6,B,2.282063945714125,1.518
20220605,138209,z6,C,2.378637059734112,1.534
20220605,138209,z6,D,2.421229196122608,1.554
20220605,138209,b7,A,3.306428124086507,1.117
20220605,138209,b7,B,2.799800534064242,1.117
20220605,138209,b7,C,3.24438815612291,1.127
20220605,138209,b7,D,2.850975363385862,1.128
20220605,138209,r7,A,2.613587955649176,1.666
20220605,138209,r7,B,2.524802114040404,1.67
20220605,138209,r7,C,2.199074154662659,1.444
20220605,138209,r7,D,2.268251446313536,1.505
20220605,138209,z7,A,2.379245005836868,1.533
20220605,138209,z7,B,2.483625677402541,1.53
20220605,138209,z7,C,2.669751887446919,1.667
20220605,138209,z7,D,2.516365037663146,1.547
20220605,138209,b8,A,3.611291007630864,1.091
20220605,138209,b8,B,2.928813662265741,1.121
20220605,138209,b8,C,3.189149668279783,1.141
20220605,138209,b8,D,3.066192761358634,1.135
20220605,138209,r8,A,2.673338975434312,1.627
20220605,138209,r8,B,2.232728636791181,1.482
20220605,138209,r8,C,2.603468866432963,1.581
20220605,138209,r8,D,2.592422677934743,1.589
20220605,138209,z8,A,2.496126951128686,1.466
20220605,138209,z8,B,2.230823733221699,1.498
20220605,138209,z8,C,2.622064097858517,1.655
20220605,138209,z8,D,2.576420168470269,1.658
20220605,138209,b9,A,3.562950223484692,1.106
20220605,138209,b9,B,2.738694441217248,1.083
20220605,138209,b9,C,3.094831275261033,1.115
20220605,138209,b9,D,3.064186431128365,1.12
20220605,138209,r9,A,2.65303088479679,1.591
20220605,138209,r9,B,2.176382403277918,1.412
20220605,138209,r9,C,2.91123341591223,1.543
20220605,138209,r9,D,2.150764709461212,1.406
20220605,138209,z9,A,2.327309441519803,1.436
20220605,138209,z9,B,2.30049786153797,1.496
20220605,138209,z9,C,2.656963195453074,1.625
20220605,138209,z9,D,2.416541378563103,1.531
20220606,138338,b0,A,4.088692412750725,1.133
20220606,138338,b0,B,3.024850611219749,1.117
20220606,138338,b0,C,3.562527613161768,1.122
20220606,138338,b0,D,3.829494461682755,1.122
20220606,138338,r0,A,2.769286514681082,1.655
20220606,138338,r0,B,2.528982358912821,1.488
20220606,138338,r0,C,2.713555586861738,1.583
20220606,138338,r0,D,2.432502259052257,1.507
20220606,138338,z0,A,2.627919592339156,1.614
20220606,138338,z0,B,2.31830838512723,1.519
20220606,138338,z0,C,2.646425583286897,1.673
20220606,138338,z0,D,2.345565842326855,1.491
20220606,138338,b1,A,4.705180135415903,1.308
20220606,138338,b1,B,3.182714188477094,1.286
20220606,138338,b1,C,4.074378325780323,1.288
20220606,138338,b1,D,3.241539609796495,1.304
20220606,138338,r1,A,2.937478491757083,1.626
20220606,138338,r1,B,2.819237427392008,1.611
20220606,138338,r1,C,2.701277183541132,1.403
20220606,138338,r1,D,2.619898003122477,1.436
20220606,138338,z1,A,2.615090039826029,1.439
20220606,138338,z1,B,2.415541032874889,1.484
20220606,138338,z1,C,3.693949009393995,1.603
20220606,138338,z1,D,2.571251814623424,1.49
20220606,138338,b2,A,3.60731450030688,1.119
20220606,138338,b2,B,3.065963460808253,1.12
20220606,138338,b2,C,3.127712710259482,1.118
20220606,138338,b2,D,2.970046913915542,1.114
20220606,138338,r2,A,2.676467656444975,1.653
20220606,138338,r2,B,4.499531744185219,1.594
20220606,138338,r2,C,2.449196514268971,1.509
20220606,138338,r2,D,2.45584554792652,1.47
20220606,138338,z2,A,2.280515033966406,1.432
20220606,138338,z2,B,2.250994637053593,1.494
20220606,138338,z2,C,2.676255494284714,1.593
20220606,138338,z2,D,2.333587485048457,1.524
20220606,138338,b3,A,3.727027517458816,1.145
20220606,138338,b3,B,2.942381402553893,1.132
20220606,138338,b3,C,3.082541355634181,1.159
20220606,138338,b3,D,3.011083686205986,1.164
20220606,138338,r3,A,2.662271932150707,1.681
20220606,138338,r3,B,3.121984379385072,1.625
20220606,138338,r3,C,2.329000110809699,1.477
20220606,138338,r3,D,2.271873920592174,1.492
20220606,138338,z3,A,2.777830886154169,1.445
20220606,138338,z3,B,2.610217582259423,1.481
20220606,138338,z3,C,3.095930328268906,1.697
20220606,138338,z3,D,3.130733510913199,1.682
20220606,138338,b4,A,3.991420383354327,1.068
20220606,138338,b4,B,3.043592039903725,1.088
20220606,138338,b4,C,3.457516643934486,1.076
20220606,138338,b4,D,2.979811536775542,1.083
20220606,138338,r4,A,2.947095490670927,1.652
20220606,138338,r4,B,2.929210361128046,1.572
20220606,138338,r4,C,2.573858744449007,1.519
20220606,138338,r4,D,2.482177664067457,1.446
20220606,138338,z4,A,2.574249817423318,1.64
20220606,138338,z4,B,2.448961171224654,1.631
20220606,138338,z4,C,2.655927019919369,1.665
20220606,138338,z4,D,2.316428969621156,1.509
20220606,138338,b5,A,4.060265233500356,1.122
20220606,138338,b5,B,3.034021552779733,1.127
20220606,138338,b5,C,4.391453030847007,1.162
