X,Y,FLUX,EXPID,TILEID
134.60879516601562,-187.79483032226562,238.23960879288444,121465,21491
206.5167236328125,-175.4416046142578,235.40013463469472,121465,21491
133.41140747070312,-243.08514404296875,239.4517213190059,121465,21491
208.5137939453125,-240.61009216308594,244.7743054072896,121465,21491
198.01759338378906,-213.7699432373047,235.6422035893936,121465,21491
146.79051208496094,-255.16195678710938,236.35288401890153,121465,21491
195.09918212890625,-228.38308715820312,236.4869890183005,121465,21491
143.60691833496094,-245.19227600097656,238.162259142292,121465,21491
204.30105590820312,-286.1374816894531,243.38777767452487,121465,21491
211.79483032226562,-250.59986877441406,240.01608621193844,121465,21491
201.01223754882812,-275.9869384765625,241.88730813662298,121465,21491
190.38284301757812,-301.5748291015625,241.9946153585044,121465,21491
173.12937927246094,-307.0424499511719,240.5394685065604,121465,21491
